PickupDate,fhvrides,Yellowrides,Greenrides
2015-07-24T00:00:00.0000000,158918,403878,55290
2017-05-10T00:00:00.0000000,473591,340369,32093
2018-09-09T00:00:00.0000000,794608,256918,20365
2016-10-01T00:00:00.0000000,437328,368086,50873
2015-12-03T00:00:00.0000000,306438,414005,51587
2015-09-28T00:00:00.0000000,192274,323275,41854
2015-08-16T00:00:00.0000000,160055,335299,55389
2017-12-13T00:00:00.0000000,691640,357298,31162
2016-11-05T00:00:00.0000000,482095,392295,49691
2015-07-21T00:00:00.0000000,147303,375036,42821
2016-12-29T00:00:00.0000000,392398,290514,31432
2018-02-26T00:00:00.0000000,596860,278617,24784
2016-12-12T00:00:00.0000000,420286,330215,33899
2015-06-06T00:00:00.0000000,140768,449804,73271
2015-06-29T00:00:00.0000000,119930,359808,41397
2017-12-25T00:00:00.0000000,449108,149445,16004
2017-02-25T00:00:00.0000000,567666,368391,48587
2016-06-20T00:00:00.0000000,319973,335992,38499
2016-02-19T00:00:00.0000000,358918,420796,57004
2016-05-16T00:00:00.0000000,321581,378829,41273
2016-07-05T00:00:00.0000000,308347,293436,36540
2015-11-10T00:00:00.0000000,302562,378051,47552
2015-11-30T00:00:00.0000000,258742,347002,41823
2018-05-17T00:00:00.0000000,732511,327504,25919
2015-05-28T00:00:00.0000000,151593,432112,52336
2017-05-30T00:00:00.0000000,439511,296638,27878
2015-05-31T00:00:00.0000000,138837,368019,63944
2015-05-30T00:00:00.0000000,148039,451080,73086
2018-10-27T00:00:00.0000000,1039874,302817,23113
2017-11-23T00:00:00.0000000,539711,192449,23530
2017-11-29T00:00:00.0000000,556613,311303,27174
2015-01-19T00:00:00.0000000,67340,342795,35777
2015-03-29T00:00:00.0000000,105458,424267,61984
2016-10-04T00:00:00.0000000,335843,319555,31040
2015-07-23T00:00:00.0000000,160358,404102,47678
2016-07-01T00:00:00.0000000,376207,324990,48322
2015-12-21T00:00:00.0000000,262636,347282,45437
2016-01-26T00:00:00.0000000,294591,327655,44321
2018-07-22T00:00:00.0000000,721674,217396,20088
2018-09-14T00:00:00.0000000,796806,301819,24666
2016-09-23T00:00:00.0000000,426816,359645,44341
2017-02-24T00:00:00.0000000,501682,350666,41093
2018-01-11T00:00:00.0000000,612817,304982,26573
2017-12-02T00:00:00.0000000,738382,349820,36414
2018-03-29T00:00:00.0000000,709599,325600,28055
2018-07-16T00:00:00.0000000,656334,267644,21153
2017-09-19T00:00:00.0000000,506676,279244,27871
2016-05-11T00:00:00.0000000,334096,383504,42589
2017-01-24T00:00:00.0000000,476799,320952,32969
2018-05-14T00:00:00.0000000,620566,294041,23675
2016-10-27T00:00:00.0000000,494932,363272,42928
2015-07-10T00:00:00.0000000,145996,401014,54007
2015-11-09T00:00:00.0000000,251183,352729,41147
2016-08-30T00:00:00.0000000,339327,300429,30338
2018-12-15T00:00:00.0000000,961819,305625,25667
2015-06-23T00:00:00.0000000,146998,406139,47747
2018-06-06T00:00:00.0000000,639174,315354,24437
2018-11-19T00:00:00.0000000,665500,256060,21204
2017-03-14T00:00:00.0000000,222276,100325,7588
2018-05-11T00:00:00.0000000,748143,324657,29137
2015-08-11T00:00:00.0000000,175943,357209,40248
2017-03-28T00:00:00.0000000,491890,333134,34076
2018-06-15T00:00:00.0000000,720144,281883,20679
2015-12-17T00:00:00.0000000,365010,418508,57754
2018-09-26T00:00:00.0000000,678997,264691,22969
2016-05-31T00:00:00.0000000,317188,340824,39387
2016-11-25T00:00:00.0000000,345706,244016,30693
2017-10-31T00:00:00.0000000,535360,294351,28124
2017-10-23T00:00:00.0000000,501399,290762,25816
2018-08-19T00:00:00.0000000,700387,204872,19334
2017-01-12T00:00:00.0000000,424978,326800,33204
2017-09-10T00:00:00.0000000,582207,289574,30393
2016-04-19T00:00:00.0000000,309634,377804,41894
2015-06-16T00:00:00.0000000,141176,400518,45704
2015-08-22T00:00:00.0000000,180732,357435,64497
2015-12-23T00:00:00.0000000,290944,339355,52780
2017-01-07T00:00:00.0000000,461323,305981,32077
2015-04-01T00:00:00.0000000,126925,440246,51943
2016-05-02T00:00:00.0000000,311540,357575,40595
2016-05-28T00:00:00.0000000,353971,329787,57265
2016-03-07T00:00:00.0000000,278546,348700,41294
2016-03-21T00:00:00.0000000,283918,344322,41736
2016-04-24T00:00:00.0000000,305723,357475,52698
2015-04-27T00:00:00.0000000,121231,393526,44694
2016-04-13T00:00:00.0000000,329095,394754,45542
2016-07-19T00:00:00.0000000,340079,344310,35325
2018-10-07T00:00:00.0000000,760031,246571,21020
2015-06-05T00:00:00.0000000,153313,451185,63653
2015-06-03T00:00:00.0000000,140627,425776,50311
2016-03-29T00:00:00.0000000,291040,378360,43788
2017-07-12T00:00:00.0000000,505734,320737,28083
2016-07-13T00:00:00.0000000,363784,370677,38870
2016-05-20T00:00:00.0000000,381751,414711,55470
2017-12-05T00:00:00.0000000,626666,330567,28897
2015-08-28T00:00:00.0000000,183480,367124,51835
2016-07-11T00:00:00.0000000,309193,306637,34316
2016-03-05T00:00:00.0000000,351386,451262,68122
2015-06-14T00:00:00.0000000,127899,382037,63489
2018-10-30T00:00:00.0000000,673774,280856,22140
2015-04-12T00:00:00.0000000,112993,407342,60888
2015-07-30T00:00:00.0000000,179356,390844,49235
2015-02-17T00:00:00.0000000,102953,394363,41800
2016-04-30T00:00:00.0000000,360844,420535,61905
2015-10-21T00:00:00.0000000,262690,389756,44853
2018-12-12T00:00:00.0000000,768395,301871,23544
2015-03-26T00:00:00.0000000,113132,427632,53254
2017-07-18T00:00:00.0000000,490344,307823,26472
2017-11-26T00:00:00.0000000,535806,251377,25767
2017-11-12T00:00:00.0000000,627569,298008,28335
2018-05-26T00:00:00.0000000,728516,236359,26151
2017-09-07T00:00:00.0000000,550008,327987,29375
2017-01-13T00:00:00.0000000,476561,344881,41245
2016-02-12T00:00:00.0000000,391964,434350,61363
2016-09-20T00:00:00.0000000,357448,315049,33684
2015-04-30T00:00:00.0000000,142325,446132,53407
2018-04-27T00:00:00.0000000,788698,332721,29598
2018-07-25T00:00:00.0000000,722577,286517,21606
2018-06-09T00:00:00.0000000,770941,293934,27550
2017-06-02T00:00:00.0000000,515579,347404,37528
2016-01-29T00:00:00.0000000,354874,414039,57370
2015-11-13T00:00:00.0000000,323009,427717,60519
2015-09-14T00:00:00.0000000,191246,345874,39199
2017-11-21T00:00:00.0000000,560416,303274,27291
2018-01-02T00:00:00.0000000,547158,238152,23226
2018-05-03T00:00:00.0000000,738386,334832,28088
2015-07-01T00:00:00.0000000,135175,390084,49634
2017-10-20T00:00:00.0000000,623308,338361,33308
2016-02-04T00:00:00.0000000,312912,394699,48063
2015-09-23T00:00:00.0000000,187929,358590,41171
2016-06-06T00:00:00.0000000,331990,356542,38993
2017-09-27T00:00:00.0000000,537155,329560,27980
2015-11-02T00:00:00.0000000,246175,348560,41085
2017-01-30T00:00:00.0000000,397537,289093,30332
2015-08-06T00:00:00.0000000,181017,391002,46777
2015-12-24T00:00:00.0000000,240893,297167,56420
2016-06-09T00:00:00.0000000,382190,393684,45042
2018-10-02T00:00:00.0000000,652464,281667,21834
2015-01-28T00:00:00.0000000,88699,380192,42508
2016-06-30T00:00:00.0000000,348553,358251,42425
2016-05-30T00:00:00.0000000,274150,261187,37049
2016-05-26T00:00:00.0000000,358272,388607,47878
2017-12-28T00:00:00.0000000,611862,275427,26425
2018-08-28T00:00:00.0000000,679353,260303,20637
2015-12-15T00:00:00.0000000,286903,396958,46266
2016-05-09T00:00:00.0000000,304855,349289,40281
2016-10-10T00:00:00.0000000,325232,291791,28695
2017-01-10T00:00:00.0000000,410052,305921,30820
2015-08-13T00:00:00.0000000,177220,380992,47162
2016-08-11T00:00:00.0000000,393203,364860,42518
2018-12-23T00:00:00.0000000,677351,197219,18789
2015-03-06T00:00:00.0000000,118186,446842,63909
2015-04-29T00:00:00.0000000,134491,427507,49132
2018-06-29T00:00:00.0000000,745184,285427,27148
2016-01-18T00:00:00.0000000,256219,341481,38913
2015-09-20T00:00:00.0000000,225865,393050,57182
2016-08-25T00:00:00.0000000,373210,332810,37930
2016-08-01T00:00:00.0000000,325627,308763,35850
2018-04-15T00:00:00.0000000,766439,300239,26025
2016-03-27T00:00:00.0000000,295796,345577,53237
2015-03-09T00:00:00.0000000,87259,392009,44832
2017-07-09T00:00:00.0000000,487821,243683,29934
2016-06-26T00:00:00.0000000,349019,331802,51363
2018-01-31T00:00:00.0000000,640538,319256,26667
2017-03-25T00:00:00.0000000,565217,346805,44815
2018-02-12T00:00:00.0000000,599939,287935,24871
2015-04-21T00:00:00.0000000,126516,426137,44991
2017-02-02T00:00:00.0000000,455977,353151,36840
2016-03-12T00:00:00.0000000,341409,442084,67200
2018-12-29T00:00:00.0000000,715759,215599,19946
2015-10-30T00:00:00.0000000,326825,428785,63849
2015-01-08T00:00:00.0000000,103978,450920,47791
2018-11-28T00:00:00.0000000,725577,283477,22899
2016-06-27T00:00:00.0000000,343179,358759,39832
2017-02-04T00:00:00.0000000,554757,365995,46876
2017-11-15T00:00:00.0000000,589826,332306,28565
2015-11-19T00:00:00.0000000,352155,394591,56609
2018-01-20T00:00:00.0000000,717557,294538,30281
2015-05-08T00:00:00.0000000,148111,449009,63470
2018-03-07T00:00:00.0000000,631928,233278,18878
2016-10-30T00:00:00.0000000,471743,344633,47707
2015-11-21T00:00:00.0000000,325890,439304,68434
2017-06-16T00:00:00.0000000,553302,341823,35700
2018-11-11T00:00:00.0000000,799635,257698,20630
2017-03-05T00:00:00.0000000,527257,326942,37720
2018-05-29T00:00:00.0000000,613762,275451,23117
2018-08-05T00:00:00.0000000,726316,227439,21079
2017-02-10T00:00:00.0000000,566432,352397,42136
2017-05-27T00:00:00.0000000,485402,267405,36431
2016-11-11T00:00:00.0000000,456164,365267,43210
2015-05-14T00:00:00.0000000,151920,439936,54778
2016-02-07T00:00:00.0000000,304803,373201,56269
2015-11-25T00:00:00.0000000,280873,358723,51013
2015-10-07T00:00:00.0000000,259987,390959,44441
2015-10-04T00:00:00.0000000,245966,365206,51988
2016-01-05T00:00:00.0000000,278457,343251,42342
2015-04-18T00:00:00.0000000,143311,500928,75616
2016-06-21T00:00:00.0000000,343723,364462,39289
2018-02-23T00:00:00.0000000,755917,328791,30896
2016-08-10T00:00:00.0000000,360027,345235,38044
2016-07-22T00:00:00.0000000,414036,375854,48816
2018-04-10T00:00:00.0000000,647496,308094,24875
2016-03-04T00:00:00.0000000,367030,434165,58737
2016-03-15T00:00:00.0000000,295580,383315,42507
2017-07-07T00:00:00.0000000,541295,290404,31805
2018-07-05T00:00:00.0000000,625883,216985,22293
2015-02-20T00:00:00.0000000,138194,498957,64721
2016-06-04T00:00:00.0000000,396390,420585,66186
2015-09-01T00:00:00.0000000,195918,352785,41553
2017-01-21T00:00:00.0000000,471691,329071,40678
2018-10-21T00:00:00.0000000,802543,271727,21506
2017-08-01T00:00:00.0000000,473038,288945,26092
2015-01-25T00:00:00.0000000,80802,407579,52950
2018-02-09T00:00:00.0000000,758104,337384,31355
2015-10-24T00:00:00.0000000,310935,436244,67376
2016-05-27T00:00:00.0000000,366213,364951,52707
2016-10-07T00:00:00.0000000,423088,366376,44613
2016-11-17T00:00:00.0000000,416286,359986,38621
2015-09-22T00:00:00.0000000,197743,367802,40881
2017-02-22T00:00:00.0000000,421290,314883,31636
2016-08-31T00:00:00.0000000,360090,320951,33024
